             550 a EXC NUCLG10.04           x02
             551 d EXC NUCLG10.04           x03
             552 a EXC NUCLG10.04           x04
             553 a EXC NUCLG10.04           x05
             554 a EXC NUCLG10.04           x06
             555 a EXC NUCLG10.04           x07
             556 a EXC NUCLG10.04           x08
             557 d EXC NUCLG10.04           x09
             558 a EXC NUCLG10.04           x10
             559 a EXC NUCLG10.04           x11
             560 a EXC NUCLG10.04           x12
             561 a EXC NUCLG10.04           x13
             562 a EXC NUCLG10.04           x14
             563 a EXC NUCLG10.04           x15
             564 a EXC NUCLG10.04           x16
             565 a EXC NUCLG10.04           x17
             566 a EXC NUCLG10.04           x18
             567 d EXC NUCLG10.04           x19
             568 d EXC NUCLG10.04           x20
             569 d EXC NUCLG10.04           x21
             570 a TOR NUCLG10.04           tm
             571 a SYN CCGTG11.01           iy
             572 a SYN CCGTG11.01           ix
             573 a SYN CCGTG11.01           psiad
             574 a SYN CCGTG11.01           psiaq
             575 d SYN CCGTG11.01           psif
             576 d SYN CCGTG11.01           psid1
             577 d SYN CCGTG11.01           psiq1
             578 d SYN CCGTG11.01           psiq2
             579 d SYN CCGTG11.01           delta
             580 d SYN CCGTG11.01           omega
             581 a EXC CCGTG11.01           vf
             582 a EXC CCGTG11.01           x02
             583 d EXC CCGTG11.01           x03
             584 a EXC CCGTG11.01           x04
             585 a EXC CCGTG11.01           x05
             586 a EXC CCGTG11.01           x06
             587 a EXC CCGTG11.01           x07
             588 a EXC CCGTG11.01           x08
             589 d EXC CCGTG11.01           x09
             590 a EXC CCGTG11.01           x10
             591 a EXC CCGTG11.01           x11
             592 a EXC CCGTG11.01           x12
             593 a EXC CCGTG11.01           x13
             594 a EXC CCGTG11.01           x14
             595 a EXC CCGTG11.01           x15
             596 a EXC CCGTG11.01           x16
             597 a EXC CCGTG11.01           x17
             598 a EXC CCGTG11.01           x18
             599 d EXC CCGTG11.01           x19
             600 d EXC CCGTG11.01           x20
             601 d EXC CCGTG11.01           x21
             602 a TOR CCGTG11.01           tm
             603 a TOR CCGTG11.01           x02
             604 d TOR CCGTG11.01           x03
             605 a TOR CCGTG11.01           x04
             606 d TOR CCGTG11.01           x05
             607 a SYN COALG11.02           iy
             608 a SYN COALG11.02           ix
             609 a SYN COALG11.02           psiad
             610 a SYN COALG11.02           psiaq
             611 d SYN COALG11.02           psif
             612 d SYN COALG11.02           psid1
             613 d SYN COALG11.02           psiq1
             614 d SYN COALG11.02           psiq2
             615 d SYN COALG11.02           delta
             616 d SYN COALG11.02           omega
             617 a EXC COALG11.02           vf
             618 a EXC COALG11.02           x02
             619 d EXC COALG11.02           x03
             620 a EXC COALG11.02           x04
             621 a EXC COALG11.02           x05
             622 a EXC COALG11.02           x06
             623 a EXC COALG11.02           x07
             624 a EXC COALG11.02           x08
             625 d EXC COALG11.02           x09
             626 a EXC COALG11.02           x10
             627 a EXC COALG11.02           x11
             628 a EXC COALG11.02           x12
             629 a EXC COALG11.02           x13
             630 a EXC COALG11.02           x14
             631 a EXC COALG11.02           x15
             632 a EXC COALG11.02           x16
             633 a EXC COALG11.02           x17
             634 a EXC COALG11.02           x18
             635 d EXC COALG11.02           x19
             636 d EXC COALG11.02           x20
             637 d EXC COALG11.02           x21
             638 a TOR COALG11.02           tm
             639 a TOR COALG11.02           x02
             640 d TOR COALG11.02           x03
             641 a TOR COALG11.02           x04
             642 d TOR COALG11.02           x05
             643 a SYN NUCLG11.04           iy
             644 a SYN NUCLG11.04           ix
             645 a SYN NUCLG11.04           psiad
             646 a SYN NUCLG11.04           psiaq
             647 d SYN NUCLG11.04           psif
             648 d SYN NUCLG11.04           psid1
             649 d SYN NUCLG11.04           psiq1
             650 d SYN NUCLG11.04           psiq2
             651 d SYN NUCLG11.04           delta
             652 d SYN NUCLG11.04           omega
             653 a EXC NUCLG11.04           vf
             654 a EXC NUCLG11.04           x02
             655 d EXC NUCLG11.04           x03
             656 a EXC NUCLG11.04           x04
             657 a EXC NUCLG11.04           x05
             658 a EXC NUCLG11.04           x06
             659 a EXC NUCLG11.04           x07
             660 a EXC NUCLG11.04           x08
             661 d EXC NUCLG11.04           x09
             662 a EXC NUCLG11.04           x10
             663 a EXC NUCLG11.04           x11
             664 a EXC NUCLG11.04           x12
             665 a EXC NUCLG11.04           x13
             666 a EXC NUCLG11.04           x14
             667 a EXC NUCLG11.04           x15
             668 a EXC NUCLG11.04           x16
             669 a EXC NUCLG11.04           x17
             670 a EXC NUCLG11.04           x18
             671 d EXC NUCLG11.04           x19
             672 d EXC NUCLG11.04           x20
             673 d EXC NUCLG11.04           x21
             674 a TOR NUCLG11.04           tm
             675 a SYN CCGTG12.01           iy
             676 a SYN CCGTG12.01           ix
             677 a SYN CCGTG12.01           psiad
             678 a SYN CCGTG12.01           psiaq
             679 d SYN CCGTG12.01           psif
             680 d SYN CCGTG12.01           psid1
             681 d SYN CCGTG12.01           psiq1
             682 d SYN CCGTG12.01           psiq2
             683 d SYN CCGTG12.01           delta
             684 d SYN CCGTG12.01           omega
             685 a EXC CCGTG12.01           vf
             686 a EXC CCGTG12.01           x02
             687 d EXC CCGTG12.01           x03
             688 a EXC CCGTG12.01           x04
             689 a EXC CCGTG12.01           x05
             690 a EXC CCGTG12.01           x06
             691 a EXC CCGTG12.01           x07
             692 a EXC CCGTG12.01           x08
             693 d EXC CCGTG12.01           x09
             694 a EXC CCGTG12.01           x10
             695 a EXC CCGTG12.01           x11
             696 a EXC CCGTG12.01           x12
             697 a EXC CCGTG12.01           x13
             698 a EXC CCGTG12.01           x14
             699 a EXC CCGTG12.01           x15
             700 a EXC CCGTG12.01           x16
             701 a EXC CCGTG12.01           x17
             702 a EXC CCGTG12.01           x18
             703 d EXC CCGTG12.01           x19
             704 d EXC CCGTG12.01           x20
             705 d EXC CCGTG12.01           x21
             706 a TOR CCGTG12.01           tm
             707 a TOR CCGTG12.01           x02
             708 d TOR CCGTG12.01           x03
             709 a TOR CCGTG12.01           x04
             710 d TOR CCGTG12.01           x05
             711 a SYN HYDRG12.03           iy
             712 a SYN HYDRG12.03           ix
             713 a SYN HYDRG12.03           psiad
             714 a SYN HYDRG12.03           psiaq
             715 d SYN HYDRG12.03           psif
             716 d SYN HYDRG12.03           psid1
             717 d SYN HYDRG12.03           psiq1
             718 d SYN HYDRG12.03           psiq2
             719 d SYN HYDRG12.03           delta
             720 d SYN HYDRG12.03           omega
             721 a EXC HYDRG12.03           vf
             722 a EXC HYDRG12.03           x02
             723 d EXC HYDRG12.03           x03
             724 a EXC HYDRG12.03           x04
             725 a EXC HYDRG12.03           x05
             726 a EXC HYDRG12.03           x06
             727 a EXC HYDRG12.03           x07
             728 a EXC HYDRG12.03           x08
             729 d EXC HYDRG12.03           x09
             730 a EXC HYDRG12.03           x10
             731 a EXC HYDRG12.03           x11
             732 a EXC HYDRG12.03           x12
             733 a EXC HYDRG12.03           x13
             734 a EXC HYDRG12.03           x14
